Vehicle_Index,Maintenance_Probability,Vehicle_Health_Score,Health_Status,Priority,Recommended_Action,Recommendation,Risk_Level,Priority_Rank
12865,0.9069,9.31,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16014,0.9069,9.31,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16290,0.9069,9.31,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2026,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2912,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5058,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6294,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7501,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18450,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19330,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22674,0.9068,9.32,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4036,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7002,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7110,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
8069,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9312,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11754,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16598,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23941,0.9067,9.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9146,0.9066,9.34,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22277,0.9066,9.34,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10864,0.9065,9.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12339,0.9065,9.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13391,0.9065,9.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15209,0.9065,9.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20117,0.9065,9.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20620,0.9065,9.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4959,0.9064,9.36,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16804,0.9064,9.36,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18592,0.9064,9.36,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19634,0.9064,9.36,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21451,0.9064,9.36,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16638,0.9063,9.37,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18237,0.9063,9.37,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18624,0.9063,9.37,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20765,0.9063,9.37,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1657,0.9062,9.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11686,0.9062,9.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14130,0.9062,9.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14574,0.9062,9.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21257,0.9062,9.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22862,0.9062,9.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
600,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2876,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10890,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11339,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15478,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16972,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17968,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21916,0.9061,9.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3178,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10395,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11672,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13928,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17896,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18205,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22419,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23072,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23289,0.906,9.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6737,0.9059,9.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13446,0.9059,9.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16494,0.9059,9.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19206,0.9059,9.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1345,0.9058,9.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6769,0.9058,9.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12066,0.9058,9.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21007,0.9058,9.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3281,0.9057,9.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6667,0.9057,9.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14697,0.9057,9.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16866,0.9057,9.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21943,0.9057,9.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22807,0.9057,9.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
963,0.9056,9.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1728,0.9056,9.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2032,0.9056,9.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9372,0.9056,9.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9828,0.9056,9.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19488,0.9056,9.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1049,0.9055,9.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4675,0.9055,9.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6555,0.9055,9.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17550,0.9055,9.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18484,0.9055,9.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21133,0.9055,9.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3678,0.9054,9.46,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5206,0.9054,9.46,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20031,0.9054,9.46,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2817,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3394,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4126,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5301,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11243,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12652,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13156,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15714,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21624,0.9053,9.47,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
194,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1253,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15555,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16324,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20876,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22979,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23406,0.9051,9.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
153,0.905,9.5,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7291,0.905,9.5,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12922,0.905,9.5,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15809,0.905,9.5,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17340,0.905,9.5,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3449,0.9049,9.51,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7102,0.9049,9.51,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15566,0.9049,9.51,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16774,0.9049,9.51,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19978,0.9049,9.51,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2827,0.9048,9.52,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5366,0.9048,9.52,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
8793,0.9048,9.52,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13490,0.9048,9.52,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23513,0.9048,9.52,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1292,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5531,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11293,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11757,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14154,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15609,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19503,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20317,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22409,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22794,0.9047,9.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4341,0.9046,9.54,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14909,0.9046,9.54,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22830,0.9046,9.54,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4049,0.9045,9.55,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5296,0.9045,9.55,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14588,0.9045,9.55,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20969,0.9045,9.55,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21481,0.9045,9.55,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
789,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2799,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7702,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11620,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12037,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19279,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22515,0.9044,9.56,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2551,0.9043,9.57,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4616,0.9043,9.57,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
