Vehicle_Index,Actual_Need_Maintenance,Predicted_Need_Maintenance,Maintenance_Probability,Vehicle_Health_Score,Health_Status
4282,0,0,0.2457,75.43,Good
4283,0,0,0.0968,90.32,Excellent
4284,1,1,0.8104,18.96,Critical
4285,1,1,0.9552,4.48,Critical
4286,1,1,0.9247,7.53,Critical
4287,0,0,0.0559,94.41,Excellent
4288,1,1,0.6382,36.18,Poor
4289,0,0,0.1157,88.43,Excellent
4290,1,1,0.8108,18.92,Critical
4291,0,0,0.1169,88.31,Excellent
4292,0,0,0.0893,91.07,Excellent
4293,1,1,0.6171,38.29,Poor
4294,0,0,0.2086,79.14,Good
4295,1,1,0.8613,13.87,Critical
4296,0,0,0.2177,78.23,Good
4297,1,1,0.7928,20.72,Poor
4298,0,0,0.1548,84.52,Excellent
4299,1,1,0.781,21.9,Poor
4300,1,0,0.4842,51.58,Fair
4301,0,0,0.1578,84.22,Excellent
4302,0,0,0.193,80.7,Excellent
4303,0,0,0.0891,91.09,Excellent
4304,1,1,0.9648,3.52,Critical
4305,0,0,0.0635,93.65,Excellent
4306,0,0,0.1435,85.65,Excellent
4307,1,0,0.3543,64.57,Good
4308,1,1,0.8479,15.21,Critical
4309,1,1,0.9236,7.64,Critical
4310,0,0,0.1121,88.79,Excellent
4311,1,1,0.9681,3.19,Critical
4312,1,1,0.9305,6.95,Critical
4313,0,0,0.1357,86.43,Excellent
4314,1,1,0.7664,23.36,Poor
4315,1,0,0.4472,55.28,Fair
4316,0,0,0.1262,87.38,Excellent
4317,1,1,0.7511,24.89,Poor
4318,0,0,0.4206,57.94,Fair
4319,1,1,0.9174,8.26,Critical
4320,0,0,0.1367,86.33,Excellent
4321,1,1,0.7856,21.44,Poor
4322,1,1,0.7861,21.39,Poor
4323,0,0,0.2348,76.52,Good
4324,1,1,0.837,16.3,Critical
4325,1,1,0.9088,9.12,Critical
4326,1,1,0.9673,3.27,Critical
4327,0,0,0.052,94.8,Excellent
4328,0,0,0.4936,50.64,Fair
4329,0,0,0.1136,88.64,Excellent
4330,0,0,0.1322,86.78,Excellent
4331,0,0,0.1548,84.52,Excellent
4332,0,0,0.1312,86.88,Excellent
4333,1,1,0.8398,16.02,Critical
4334,0,0,0.0809,91.91,Excellent
4335,0,0,0.1732,82.68,Excellent
4336,0,0,0.2768,72.32,Good
4337,1,1,0.7899,21.01,Poor
4338,0,0,0.2499,75.01,Good
4339,0,0,0.0549,94.51,Excellent
4340,1,1,0.5152,48.48,Fair
4341,1,1,0.9046,9.54,Critical
4342,0,0,0.1474,85.26,Excellent
4343,0,0,0.1226,87.74,Excellent
4344,0,0,0.0844,91.56,Excellent
4345,1,1,0.9694,3.06,Critical
4346,0,0,0.1198,88.02,Excellent
4347,0,0,0.1717,82.83,Excellent
4348,0,0,0.1925,80.75,Excellent
4349,0,0,0.1909,80.91,Excellent
4350,0,0,0.0594,94.06,Excellent
4351,1,1,0.7449,25.51,Poor
4352,0,0,0.0668,93.32,Excellent
4353,0,0,0.1213,87.87,Excellent
4354,0,0,0.3537,64.63,Good
4355,1,1,0.8642,13.58,Critical
4356,0,0,0.1852,81.48,Excellent
4357,1,1,0.901,9.9,Critical
4358,0,0,0.1879,81.21,Excellent
4359,0,0,0.0703,92.97,Excellent
4360,0,0,0.1694,83.06,Excellent
4361,0,0,0.2027,79.73,Good
4362,0,0,0.4038,59.62,Fair
4363,0,0,0.1028,89.72,Excellent
4364,1,1,0.724,27.6,Poor
4365,1,1,0.8847,11.53,Critical
4366,1,0,0.4462,55.38,Fair
4367,1,1,0.7945,20.55,Poor
4368,1,1,0.9555,4.45,Critical
4369,0,0,0.3924,60.76,Good
4370,1,1,0.7912,20.88,Poor
4371,0,0,0.147,85.3,Excellent
4372,1,1,0.8544,14.56,Critical
4373,0,0,0.1067,89.33,Excellent
4374,0,0,0.1304,86.96,Excellent
4375,1,1,0.7816,21.84,Poor
4376,1,1,0.8286,17.14,Critical
4377,0,1,0.5011,49.89,Fair
4378,1,1,0.789,21.1,Poor
4379,0,0,0.1023,89.77,Excellent
4380,1,1,0.971,2.9,Critical
4381,0,0,0.0913,90.87,Excellent
4382,1,1,0.7522,24.78,Poor
4383,0,0,0.2103,78.97,Good
4384,0,0,0.0707,92.93,Excellent
4385,0,0,0.1671,83.29,Excellent
4386,1,1,0.8867,11.33,Critical
4387,1,1,0.8865,11.35,Critical
4388,0,0,0.1822,81.78,Excellent
4389,1,1,0.9252,7.48,Critical
4390,1,1,0.9272,7.28,Critical
4391,1,1,0.9165,8.35,Critical
4392,1,1,0.9763,2.37,Critical
4393,0,0,0.126,87.4,Excellent
4394,1,1,0.9895,1.05,Critical
4395,0,1,0.626,37.4,Poor
4396,0,0,0.1366,86.34,Excellent
4397,0,0,0.1775,82.25,Excellent
4398,0,0,0.1138,88.62,Excellent
4399,0,0,0.0621,93.79,Excellent
4400,0,0,0.0965,90.35,Excellent
4401,0,0,0.2114,78.86,Good
4402,1,1,0.8984,10.16,Critical
4403,0,0,0.245,75.5,Good
4404,1,1,0.8217,17.83,Critical
4405,1,1,0.9477,5.23,Critical
4406,1,1,0.7361,26.39,Poor
4407,1,1,0.9388,6.12,Critical
4408,0,0,0.1165,88.35,Excellent
4409,1,1,0.8929,10.71,Critical
4410,1,1,0.8044,19.56,Critical
4411,0,0,0.0964,90.36,Excellent
4412,1,1,0.8823,11.77,Critical
4413,1,1,0.9628,3.72,Critical
4414,1,1,0.8116,18.84,Critical
4415,0,0,0.1632,83.68,Excellent
4416,1,1,0.9481,5.19,Critical
4417,1,1,0.9027,9.73,Critical
4418,1,1,0.6421,35.79,Poor
4419,0,0,0.0876,91.24,Excellent
4420,1,1,0.9416,5.84,Critical
4421,1,1,0.8763,12.37,Critical
4422,1,1,0.6437,35.63,Poor
4423,0,0,0.2803,71.97,Good
4424,0,0,0.1217,87.83,Excellent
4425,0,0,0.0908,90.92,Excellent
4426,0,0,0.4554,54.46,Fair
4427,0,0,0.0723,92.77,Excellent
4428,1,1,0.83,17.0,Critical
4429,0,0,0.0957,90.43,Excellent
4430,0,0,0.1073,89.27,Excellent
4431,0,0,0.1089,89.11,Excellent
4432,0,0,0.0406,95.94,Excellent
4433,0,0,0.441,55.9,Fair
4434,0,1,0.567,43.3,Fair
4435,1,1,0.828,17.2,Critical
4436,1,1,0.6813,31.87,Poor
4437,0,0,0.0959,90.41,Excellent
4438,0,0,0.0634,93.66,Excellent
4439,1,1,0.841,15.9,Critical
4440,0,0,0.0743,92.57,Excellent
4441,1,0,0.4904,50.96,Fair
4442,1,1,0.8982,10.18,Critical
4443,0,0,0.208,79.2,Good
4444,0,0,0.1063,89.37,Excellent
4445,1,1,0.8719,12.81,Critical
4446,0,0,0.1824,81.76,Excellent
4447,1,1,0.9792,2.08,Critical
4448,1,1,0.9311,6.89,Critical
4449,1,1,0.8825,11.75,Critical
4450,0,0,0.1034,89.66,Excellent
4451,0,0,0.1883,81.17,Excellent
4452,0,0,0.2939,70.61,Good
4453,0,0,0.1937,80.63,Excellent
4454,1,1,0.9199,8.01,Critical
4455,0,0,0.1301,86.99,Excellent
4456,0,0,0.1433,85.67,Excellent
4457,0,0,0.2254,77.46,Good
4458,1,0,0.4712,52.88,Fair
4459,0,0,0.0692,93.08,Excellent
4460,0,0,0.086,91.4,Excellent
4461,1,1,0.8382,16.18,Critical
4462,1,1,0.9082,9.18,Critical
4463,0,0,0.1081,89.19,Excellent
4464,1,1,0.9618,3.82,Critical
4465,0,0,0.0521,94.79,Excellent
4466,1,1,0.8467,15.33,Critical
4467,0,0,0.1059,89.41,Excellent
4468,0,0,0.0666,93.34,Excellent
4469,0,0,0.3752,62.48,Good
4470,0,0,0.1447,85.53,Excellent
4471,1,1,0.971,2.9,Critical
4472,0,0,0.1145,88.55,Excellent
4473,1,1,0.8918,10.82,Critical
4474,1,1,0.8252,17.48,Critical
4475,0,0,0.0665,93.35,Excellent
4476,0,0,0.1281,87.19,Excellent
4477,1,1,0.8499,15.01,Critical
4478,1,1,0.8732,12.68,Critical
4479,0,0,0.143,85.7,Excellent
4480,0,0,0.0759,92.41,Excellent
4481,1,1,0.8849,11.51,Critical
4482,0,0,0.1808,81.92,Excellent
4483,0,0,0.0639,93.61,Excellent
4484,1,0,0.4783,52.17,Fair
4485,1,1,0.7661,23.39,Poor
4486,0,0,0.1983,80.17,Excellent
4487,0,0,0.2131,78.69,Good
4488,0,0,0.1219,87.81,Excellent
4489,0,0,0.1746,82.54,Excellent
4490,1,1,0.5113,48.87,Fair
4491,1,1,0.8955,10.45,Critical
4492,0,0,0.1183,88.17,Excellent
4493,0,0,0.1425,85.75,Excellent
4494,0,0,0.1279,87.21,Excellent
4495,1,1,0.9227,7.73,Critical
4496,1,1,0.657,34.3,Poor
4497,0,0,0.2732,72.68,Good
4498,0,0,0.0501,94.99,Excellent
4499,0,0,0.1583,84.17,Excellent
4500,0,0,0.1549,84.51,Excellent
4501,0,0,0.0888,91.12,Excellent
4502,0,0,0.0841,91.59,Excellent
4503,1,1,0.9262,7.38,Critical
4504,1,1,0.8054,19.46,Critical
4505,1,1,0.8656,13.44,Critical
4506,0,0,0.3094,69.06,Good
4507,0,0,0.1364,86.36,Excellent
4508,1,1,0.9341,6.59,Critical
4509,0,0,0.0629,93.71,Excellent
4510,1,1,0.8054,19.46,Critical
4511,0,0,0.0684,93.16,Excellent
4512,0,0,0.1114,88.86,Excellent
4513,0,0,0.2604,73.96,Good
4514,1,1,0.6324,36.76,Poor
4515,0,0,0.1292,87.08,Excellent
4516,0,0,0.0435,95.65,Excellent
4517,1,1,0.8913,10.87,Critical
4518,1,1,0.7943,20.57,Poor
4519,1,1,0.941,5.9,Critical
4520,1,1,0.8628,13.72,Critical
4521,1,1,0.9516,4.84,Critical
4522,1,1,0.6494,35.06,Poor
4523,1,1,0.5015,49.85,Fair
4524,0,0,0.2951,70.49,Good
4525,0,0,0.1195,88.05,Excellent
4526,0,0,0.1101,88.99,Excellent
4527,0,0,0.073,92.7,Excellent
4528,0,0,0.0857,91.43,Excellent
4529,1,1,0.8855,11.45,Critical
4530,0,0,0.1538,84.62,Excellent
4531,1,1,0.6841,31.59,Poor
4532,1,1,0.9189,8.11,Critical
4533,0,0,0.2703,72.97,Good
4534,0,0,0.0829,91.71,Excellent
4535,1,1,0.7446,25.54,Poor
4536,0,0,0.0417,95.83,Excellent
4537,1,1,0.8949,10.51,Critical
4538,1,1,0.882,11.8,Critical
4539,0,0,0.051,94.9,Excellent
4540,0,0,0.093,90.7,Excellent
4541,1,1,0.7803,21.97,Poor
4542,1,1,0.878,12.2,Critical
4543,0,0,0.0934,90.66,Excellent
4544,1,1,0.8636,13.64,Critical
4545,1,1,0.8666,13.34,Critical
4546,0,0,0.2519,74.81,Good
4547,1,1,0.7476,25.24,Poor
4548,0,0,0.3311,66.89,Good
4549,0,0,0.3297,67.03,Good
4550,1,1,0.6802,31.98,Poor
4551,1,1,0.7629,23.71,Poor
4552,1,1,0.8446,15.54,Critical
4553,1,0,0.4396,56.04,Fair
4554,0,0,0.1218,87.82,Excellent
4555,0,0,0.4543,54.57,Fair
4556,0,0,0.1441,85.59,Excellent
4557,0,0,0.1899,81.01,Excellent
4558,0,0,0.2827,71.73,Good
4559,0,0,0.2977,70.23,Good
4560,0,0,0.1021,89.79,Excellent
4561,1,1,0.9314,6.86,Critical
4562,1,1,0.7475,25.25,Poor
4563,0,0,0.0655,93.45,Excellent
4564,0,0,0.1001,89.99,Excellent
4565,1,1,0.9197,8.03,Critical
4566,1,1,0.7216,27.84,Poor
4567,0,0,0.284,71.6,Good
4568,1,1,0.8449,15.51,Critical
4569,0,0,0.2103,78.97,Good
4570,0,0,0.0963,90.37,Excellent
4571,0,0,0.2418,75.82,Good
4572,0,0,0.1273,87.27,Excellent
4573,1,1,0.7913,20.87,Poor
4574,1,1,0.919,8.1,Critical
4575,0,0,0.1048,89.52,Excellent
4576,1,1,0.9349,6.51,Critical
4577,0,0,0.1017,89.83,Excellent
4578,0,0,0.4409,55.91,Fair
4579,0,0,0.2109,78.91,Good
4580,1,1,0.9577,4.23,Critical
4581,1,1,0.8754,12.46,Critical
4582,0,1,0.5195,48.05,Fair
4583,1,1,0.7775,22.25,Poor
4584,0,0,0.1993,80.07,Excellent
4585,1,1,0.6641,33.59,Poor
4586,1,1,0.859,14.1,Critical
4587,1,1,0.8873,11.27,Critical
4588,0,0,0.1102,88.98,Excellent
4589,0,0,0.2119,78.81,Good
4590,0,0,0.1518,84.82,Excellent
4591,1,1,0.8267,17.33,Critical
4592,1,1,0.8886,11.14,Critical
4593,1,1,0.5573,44.27,Fair
4594,0,0,0.2326,76.74,Good
4595,1,1,0.6275,37.25,Poor
4596,0,0,0.2261,77.39,Good
4597,1,1,0.832,16.8,Critical
4598,1,1,0.5536,44.64,Fair
4599,0,0,0.2389,76.11,Good
4600,0,0,0.1956,80.44,Excellent
4601,1,1,0.9034,9.66,Critical
4602,1,1,0.8413,15.87,Critical
4603,1,1,0.6041,39.59,Poor
4604,1,1,0.5209,47.91,Fair
4605,1,0,0.4128,58.72,Fair
4606,1,1,0.9588,4.12,Critical
4607,1,1,0.883,11.7,Critical
4608,0,0,0.2804,71.96,Good
4609,0,0,0.2174,78.26,Good
4610,0,0,0.0707,92.93,Excellent
4611,1,1,0.51,49.0,Fair
4612,0,0,0.0537,94.63,Excellent
4613,1,1,0.8724,12.76,Critical
4614,1,1,0.9408,5.92,Critical
4615,1,1,0.965,3.5,Critical
4616,1,1,0.9043,9.57,Critical
4617,1,1,0.9149,8.51,Critical
4618,0,0,0.098,90.2,Excellent
4619,0,0,0.0998,90.02,Excellent
4620,1,1,0.9718,2.82,Critical
4621,1,1,0.882,11.8,Critical
4622,0,0,0.1365,86.35,Excellent
4623,1,1,0.945,5.5,Critical
4624,0,0,0.3704,62.96,Good
4625,0,0,0.1054,89.46,Excellent
4626,0,0,0.1245,87.55,Excellent
4627,0,0,0.1019,89.81,Excellent
4628,1,1,0.7937,20.63,Poor
4629,1,1,0.9638,3.62,Critical
4630,1,1,0.9639,3.61,Critical
4631,0,0,0.3445,65.55,Good
4632,1,1,0.9106,8.94,Critical
4633,1,1,0.8585,14.15,Critical
4634,1,1,0.8558,14.42,Critical
4635,0,0,0.0891,91.09,Excellent
4636,1,1,0.7038,29.62,Poor
4637,0,0,0.131,86.9,Excellent
4638,1,1,0.814,18.6,Critical
4639,0,0,0.1167,88.33,Excellent
4640,0,0,0.1086,89.14,Excellent
4641,1,1,0.9526,4.74,Critical
4642,1,1,0.7973,20.27,Poor
4643,1,1,0.8077,19.23,Critical
4644,0,0,0.1341,86.59,Excellent
4645,0,0,0.2476,75.24,Good
4646,0,0,0.1347,86.53,Excellent
4647,0,0,0.0912,90.88,Excellent
4648,1,1,0.6625,33.75,Poor
4649,1,1,0.7749,22.51,Poor
4650,0,0,0.1498,85.02,Excellent
4651,0,0,0.1397,86.03,Excellent
4652,1,1,0.9887,1.13,Critical
4653,1,1,0.8444,15.56,Critical
4654,1,1,0.911,8.9,Critical
4655,0,0,0.3035,69.65,Good
4656,0,0,0.3003,69.97,Good
4657,1,1,0.7966,20.34,Poor
4658,0,0,0.096,90.4,Excellent
4659,0,0,0.1075,89.25,Excellent
4660,0,0,0.1916,80.84,Excellent
4661,1,1,0.7731,22.69,Poor
4662,1,1,0.8279,17.21,Critical
4663,0,0,0.1882,81.18,Excellent
4664,1,1,0.8289,17.11,Critical
4665,0,0,0.058,94.2,Excellent
4666,0,0,0.1652,83.48,Excellent
4667,1,1,0.8888,11.12,Critical
4668,1,1,0.9958,0.42,Critical
4669,0,0,0.1064,89.36,Excellent
4670,1,1,0.9517,4.83,Critical
4671,1,1,0.902,9.8,Critical
4672,1,1,0.9174,8.26,Critical
4673,0,0,0.0557,94.43,Excellent
4674,0,0,0.1393,86.07,Excellent
4675,1,1,0.9055,9.45,Critical
4676,0,0,0.1515,84.85,Excellent
4677,0,0,0.1406,85.94,Excellent
4678,1,1,0.7779,22.21,Poor
4679,1,1,0.811,18.9,Critical
4680,1,1,0.8864,11.36,Critical
4681,0,0,0.0807,91.93,Excellent
4682,1,1,0.9317,6.83,Critical
4683,1,1,0.9816,1.84,Critical
4684,0,0,0.1478,85.22,Excellent
4685,1,1,0.9296,7.04,Critical
4686,1,0,0.4756,52.44,Fair
4687,0,0,0.2588,74.12,Good
4688,0,0,0.0914,90.86,Excellent
4689,0,0,0.0956,90.44,Excellent
4690,0,0,0.1193,88.07,Excellent
4691,0,0,0.121,87.9,Excellent
4692,0,0,0.2123,78.77,Good
4693,0,0,0.1661,83.39,Excellent
4694,0,0,0.0945,90.55,Excellent
4695,0,0,0.0964,90.36,Excellent
4696,0,0,0.0735,92.65,Excellent
4697,0,0,0.1691,83.09,Excellent
4698,1,1,0.8813,11.87,Critical
4699,1,1,0.9385,6.15,Critical
4700,0,0,0.0778,92.22,Excellent
4701,0,0,0.0829,91.71,Excellent
4702,0,0,0.0601,93.99,Excellent
4703,0,0,0.2588,74.12,Good
4704,1,1,0.8518,14.82,Critical
4705,1,1,0.938,6.2,Critical
4706,1,1,0.9514,4.86,Critical
4707,1,1,0.8986,10.14,Critical
4708,1,1,0.9127,8.73,Critical
4709,0,0,0.0633,93.67,Excellent
4710,0,0,0.166,83.4,Excellent
4711,1,1,0.7907,20.93,Poor
4712,1,1,0.6368,36.32,Poor
4713,0,0,0.0391,96.09,Excellent
4714,0,0,0.0956,90.44,Excellent
4715,1,1,0.8701,12.99,Critical
4716,0,0,0.305,69.5,Good
4717,0,0,0.1192,88.08,Excellent
4718,1,1,0.9037,9.63,Critical
4719,0,0,0.3872,61.28,Good
4720,1,1,0.8359,16.41,Critical
4721,1,1,0.889,11.1,Critical
4722,1,1,0.836,16.4,Critical
4723,0,0,0.1026,89.74,Excellent
4724,0,0,0.0443,95.57,Excellent
4725,0,0,0.1384,86.16,Excellent
4726,1,0,0.3648,63.52,Good
4727,1,1,0.9771,2.29,Critical
4728,0,0,0.0557,94.43,Excellent
4729,0,0,0.1133,88.67,Excellent
4730,0,0,0.0379,96.21,Excellent
4731,0,0,0.0891,91.09,Excellent
4732,1,0,0.3597,64.03,Good
4733,1,1,0.8313,16.87,Critical
4734,0,0,0.1636,83.64,Excellent
4735,1,1,0.9582,4.18,Critical
4736,1,1,0.9576,4.24,Critical
4737,0,0,0.1007,89.93,Excellent
4738,0,0,0.101,89.9,Excellent
4739,1,1,0.7822,21.78,Poor
4740,1,1,0.9487,5.13,Critical
4741,1,1,0.895,10.5,Critical
4742,1,1,0.7866,21.34,Poor
4743,0,0,0.0644,93.56,Excellent
4744,1,1,0.814,18.6,Critical
4745,0,0,0.1574,84.26,Excellent
4746,1,1,0.9231,7.69,Critical
4747,0,0,0.1631,83.69,Excellent
4748,0,0,0.1656,83.44,Excellent
4749,0,0,0.3693,63.07,Good
4750,0,0,0.1068,89.32,Excellent
4751,0,0,0.1822,81.78,Excellent
4752,1,1,0.737,26.3,Poor
4753,0,0,0.127,87.3,Excellent
4754,1,1,0.8603,13.97,Critical
4755,1,1,0.8911,10.89,Critical
4756,1,1,0.6843,31.57,Poor
4757,1,1,0.6345,36.55,Poor
4758,1,1,0.7196,28.04,Poor
4759,0,0,0.3172,68.28,Good
4760,1,1,0.7265,27.35,Poor
4761,1,1,0.9499,5.01,Critical
4762,0,0,0.1241,87.59,Excellent
4763,0,0,0.0856,91.44,Excellent
4764,0,0,0.0631,93.69,Excellent
4765,0,0,0.0944,90.56,Excellent
4766,1,0,0.3653,63.47,Good
4767,0,0,0.2412,75.88,Good
4768,1,1,0.9257,7.43,Critical
4769,0,0,0.1626,83.74,Excellent
4770,0,0,0.106,89.4,Excellent
4771,1,1,0.9798,2.02,Critical
4772,1,1,0.804,19.6,Critical
4773,1,1,0.9013,9.87,Critical
4774,1,1,0.6192,38.08,Poor
4775,1,1,0.9381,6.19,Critical
4776,1,1,0.709,29.1,Poor
4777,0,0,0.1121,88.79,Excellent
4778,0,0,0.4435,55.65,Fair
4779,0,0,0.2099,79.01,Good
4780,0,0,0.14,86.0,Excellent
4781,0,0,0.1065,89.35,Excellent
4782,1,1,0.889,11.1,Critical
4783,1,1,0.9076,9.24,Critical
4784,0,0,0.1462,85.38,Excellent
4785,1,1,0.7928,20.72,Poor
4786,1,1,0.5033,49.67,Fair
4787,0,0,0.2606,73.94,Good
4788,1,1,0.9352,6.48,Critical
4789,0,0,0.0613,93.87,Excellent
4790,1,1,0.7123,28.77,Poor
4791,0,0,0.0486,95.14,Excellent
4792,0,0,0.167,83.3,Excellent
4793,0,0,0.1018,89.82,Excellent
4794,1,1,0.8587,14.13,Critical
4795,1,1,0.9185,8.15,Critical
4796,1,1,0.6556,34.44,Poor
4797,1,1,0.5785,42.15,Fair
4798,0,0,0.1632,83.68,Excellent
4799,1,1,0.7243,27.57,Poor
4800,0,0,0.0786,92.14,Excellent
4801,1,1,0.9491,5.09,Critical
4802,1,1,0.9358,6.42,Critical
4803,1,1,0.7892,21.08,Poor
4804,1,1,0.8635,13.65,Critical
4805,0,0,0.1438,85.62,Excellent
4806,1,1,0.8864,11.36,Critical
4807,0,0,0.1999,80.01,Excellent
4808,0,0,0.1012,89.88,Excellent
4809,1,1,0.8734,12.66,Critical
4810,1,1,0.9474,5.26,Critical
4811,1,1,0.7506,24.94,Poor
4812,1,1,0.7763,22.37,Poor
4813,0,0,0.1719,82.81,Excellent
4814,0,0,0.062,93.8,Excellent
4815,1,1,0.9243,7.57,Critical
4816,1,1,0.8251,17.49,Critical
4817,1,1,0.9438,5.62,Critical
4818,1,1,0.9421,5.79,Critical
4819,0,0,0.0689,93.11,Excellent
4820,1,1,0.6994,30.06,Poor
4821,1,1,0.7942,20.58,Poor
4822,1,1,0.7554,24.46,Poor
4823,1,1,0.6457,35.43,Poor
4824,0,0,0.1758,82.42,Excellent
4825,1,1,0.8934,10.66,Critical
4826,0,0,0.0554,94.46,Excellent
4827,1,1,0.7949,20.51,Poor
4828,0,0,0.0966,90.34,Excellent
4829,0,0,0.3337,66.63,Good
4830,0,0,0.1105,88.95,Excellent
4831,0,0,0.1407,85.93,Excellent
4832,1,1,0.6793,32.07,Poor
4833,0,0,0.1203,87.97,Excellent
4834,0,0,0.1524,84.76,Excellent
4835,1,1,0.9016,9.84,Critical
4836,1,1,0.9549,4.51,Critical
4837,1,1,0.7706,22.94,Poor
4838,1,1,0.8161,18.39,Critical
4839,0,0,0.0931,90.69,Excellent
4840,1,1,0.969,3.1,Critical
4841,0,1,0.5035,49.65,Fair
4842,1,1,0.9378,6.22,Critical
4843,0,0,0.102,89.8,Excellent
4844,1,1,0.9411,5.89,Critical
4845,0,0,0.1068,89.32,Excellent
4846,1,1,0.9375,6.25,Critical
4847,1,1,0.9247,7.53,Critical
4848,0,0,0.0837,91.63,Excellent
4849,0,0,0.2665,73.35,Good
4850,1,1,0.9141,8.59,Critical
4851,0,0,0.1073,89.27,Excellent
4852,1,1,0.8641,13.59,Critical
4853,1,1,0.8931,10.69,Critical
4854,1,1,0.8279,17.21,Critical
4855,1,1,0.8839,11.61,Critical
4856,1,1,0.9929,0.71,Critical
4857,0,0,0.1065,89.35,Excellent
4858,0,0,0.0483,95.17,Excellent
4859,0,0,0.0558,94.42,Excellent
4860,0,0,0.2717,72.83,Good
4861,1,1,0.9245,7.55,Critical
4862,1,1,0.8893,11.07,Critical
4863,0,0,0.2091,79.09,Good
4864,0,0,0.1702,82.98,Excellent
4865,0,0,0.1761,82.39,Excellent
4866,1,1,0.804,19.6,Critical
4867,0,0,0.1484,85.16,Excellent
4868,1,1,0.9578,4.22,Critical
4869,0,0,0.0983,90.17,Excellent
4870,1,1,0.9523,4.77,Critical
4871,1,1,0.7351,26.49,Poor
4872,1,1,0.8378,16.22,Critical
4873,0,0,0.1684,83.16,Excellent
4874,1,1,0.772,22.8,Poor
4875,0,0,0.1954,80.46,Excellent
4876,1,1,0.9855,1.45,Critical
4877,0,0,0.1126,88.74,Excellent
4878,0,0,0.4838,51.62,Fair
4879,0,0,0.1351,86.49,Excellent
4880,1,0,0.467,53.3,Fair
4881,0,0,0.2625,73.75,Good
4882,0,0,0.2963,70.37,Good
4883,1,1,0.7222,27.78,Poor
4884,1,1,0.9238,7.62,Critical
4885,1,0,0.4504,54.96,Fair
4886,0,0,0.0888,91.12,Excellent
4887,1,1,0.9363,6.37,Critical
4888,1,1,0.7761,22.39,Poor
4889,1,1,0.927,7.3,Critical
4890,1,1,0.9678,3.22,Critical
4891,0,0,0.1563,84.37,Excellent
4892,1,1,0.72,28.0,Poor
4893,0,0,0.1004,89.96,Excellent
4894,0,0,0.0739,92.61,Excellent
4895,0,0,0.0623,93.77,Excellent
4896,0,0,0.23,77.0,Good
4897,0,0,0.165,83.5,Excellent
4898,0,0,0.0142,98.58,Excellent
4899,1,0,0.4074,59.26,Fair
4900,0,0,0.2327,76.73,Good
4901,1,1,0.8222,17.78,Critical
4902,1,1,0.9303,6.97,Critical
4903,0,0,0.1165,88.35,Excellent
4904,1,1,0.7341,26.59,Poor
4905,0,0,0.155,84.5,Excellent
4906,0,0,0.1411,85.89,Excellent
4907,0,0,0.1269,87.31,Excellent
4908,1,1,0.8278,17.22,Critical
4909,1,1,0.8687,13.13,Critical
4910,0,0,0.1454,85.46,Excellent
4911,0,0,0.0698,93.02,Excellent
4912,0,0,0.1852,81.48,Excellent
4913,1,1,0.9234,7.66,Critical
4914,0,0,0.1419,85.81,Excellent
4915,0,0,0.2271,77.29,Good
4916,1,1,0.9076,9.24,Critical
4917,0,0,0.082,91.8,Excellent
4918,0,0,0.1204,87.96,Excellent
4919,1,0,0.1515,84.85,Excellent
4920,1,1,0.9038,9.62,Critical
4921,0,0,0.1478,85.22,Excellent
4922,0,0,0.0688,93.12,Excellent
4923,1,1,0.842,15.8,Critical
4924,0,0,0.11,89.0,Excellent
4925,0,0,0.0541,94.59,Excellent
4926,0,0,0.1031,89.69,Excellent
4927,0,0,0.2899,71.01,Good
4928,1,1,0.8798,12.02,Critical
4929,0,0,0.22,78.0,Good
4930,0,0,0.1432,85.68,Excellent
4931,0,0,0.1002,89.98,Excellent
4932,1,1,0.6205,37.95,Poor
4933,0,0,0.1515,84.85,Excellent
4934,1,1,0.8298,17.02,Critical
4935,0,0,0.3892,61.08,Good
4936,1,1,0.8414,15.86,Critical
4937,1,1,0.8524,14.76,Critical
4938,0,0,0.1565,84.35,Excellent
4939,1,1,0.8287,17.13,Critical
4940,1,1,0.7346,26.54,Poor
4941,1,1,0.8367,16.33,Critical
4942,0,0,0.1333,86.67,Excellent
4943,0,0,0.1747,82.53,Excellent
4944,1,1,0.8682,13.18,Critical
4945,0,0,0.0865,91.35,Excellent
4946,0,0,0.0659,93.41,Excellent
4947,1,1,0.9836,1.64,Critical
4948,0,0,0.1715,82.85,Excellent
4949,1,1,0.5786,42.14,Fair
4950,1,1,0.9721,2.79,Critical
4951,0,0,0.2388,76.12,Good
4952,0,0,0.1274,87.26,Excellent
4953,0,0,0.1298,87.02,Excellent
4954,1,1,0.7484,25.16,Poor
4955,0,0,0.1928,80.72,Excellent
4956,1,1,0.699,30.1,Poor
4957,1,1,0.8075,19.25,Critical
4958,0,0,0.4076,59.24,Fair
4959,1,1,0.9064,9.36,Critical
4960,0,0,0.3224,67.76,Good
4961,1,1,0.7401,25.99,Poor
4962,0,0,0.116,88.4,Excellent
4963,0,0,0.0669,93.31,Excellent
4964,1,1,0.8879,11.21,Critical
4965,0,0,0.2344,76.56,Good
4966,1,1,0.7563,24.37,Poor
4967,1,1,0.7758,22.42,Poor
4968,0,0,0.0719,92.81,Excellent
4969,1,1,0.9581,4.19,Critical
4970,1,1,0.7968,20.32,Poor
4971,0,0,0.0802,91.98,Excellent
